#Bhutanese titles;;;;;;;;;;;;;;
bhutanese_decayed_baron;Commander;;;;;;;;;;;;;x
bhutanese_decayed_baron_female;Commander;;;;;;;;;;;;;x
bhutanese_decayed_count;Prefect;;;;;;;;;;;;;x
bhutanese_decayed_count_female;Prefect;;;;;;;;;;;;;x
bhutanese_decayed_duke;Protector;;;;;;;;;;;;;x
bhutanese_decayed_duke_female;Protector;;;;;;;;;;;;;x
bhutanese_decayed_king;Governor;;;;;;;;;;;;;x
bhutanese_decayed_king_female;Governess;;;;;;;;;;;;;x
bhutanese_decayed_emperor_title_consort;Dragon Queen;;;;;;;;;;;;;x
bhutanese_decayed_emperor_title_consort_female;Dragon King;;;;;;;;;;;;;x
bhutanese_decayed_title_prince;Prince;;;;;;;;;;;;x;
bhutanese_decayed_title_prince_female;Princess;;;;;;;;;;;;;x
bhutanese_decayed_barony_of;Fortress of;;;;;;;;;;;;;x
bhutanese_decayed_county_of;Prefecture of;;;;;;;;;;;;;x
bhutanese_decayed_duchy_of;Canton of;;;;;;;;;;;;;x
bhutanese_decayed_kingdom_of;Governorate of;;;;;;;;;;;;;x
#Bhutanese restored titles;;;;;;;;;;;;;;
bhutanese_restored_baron;Commander;;;;;;;;;;;;;x
bhutanese_restored_baron_female;Commander;;;;;;;;;;;;;x
bhutanese_restored_count;Prefect;;;;;;;;;;;;;x
bhutanese_restored_count_female;Prefect;;;;;;;;;;;;;x
bhutanese_restored_duke;Protector;;;;;;;;;;;;;x
bhutanese_restored_duke_female;Protector;;;;;;;;;;;;;x
bhutanese_restored_duchy;Canton of;;;;;;;;;;;;;x
bhutanese_restored_king;Governor;;;;;;;;;;;;;x
bhutanese_restored_king_female;Governess;;;;;;;;;;;;;x
bhutanese_restored_emperor_title_consort;Dragon Queen;;;;;;;;;;;;;x
bhutanese_restored_emperor_title_consort_female;Dragon King;;;;;;;;;;;;;x
bhutanese_restored_title_prince;Prince;;;;;;;;;;;;x;
bhutanese_restored_title_prince_female;Princess;;;;;;;;;;;;;x
bhutanese_restored_barony_of;Fortress of;;;;;;;;;;;;;x
bhutanese_restored_county_of;Prefecture of;;;;;;;;;;;;;x
bhutanese_restored_duchy_of;Canton of;;;;;;;;;;;;;x
